#license: CC-BY-4.0
#mapping_set_id: HeritageGraph
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-06-23
#curie_map: 
# heritageGraph: https://w3id.org/heritagegraph/
# linkml: https://w3id.org/linkml/
# rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# owl: http://www.w3.org/2002/07/owl#
# xsd: http://www.w3.org/2001/XMLSchema#
# skos: http://www.w3.org/2004/02/skos/core#
# dcterms: http://purl.org/dc/terms/
# dct: http://purl.org/dc/terms/
# pav: http://purl.org/pav/
# void: http://rdfs.org/ns/void#
# geo: http://www.opengis.net/ont/geosparql#
# time: http://www.w3.org/2006/time#
# wgs84: http://www.w3.org/2003/01/geo/wgs84_pos#
# aat: http://vocab.getty.edu/aat/
# tgn: http://vocab.getty.edu/tgn/
# wikidata: http://www.wikidata.org/entity/
# schema: http://schema.org/
# dbo: http://dbpedia.org/ontology/
# foaf: http://xmlns.com/foaf/0.1/
# edm: http://www.europeana.eu/schemas/edm/
# orcid: https://orcid.org/
# localcontexts: https://voc.localcontexts.org/
# datacite: http://purl.org/spar/datacite/
# prov: http://www.w3.org/ns/prov#
# crm: http://www.cidoc-crm.org/cidoc-crm/
# crmsci: http://www.cidoc-crm.org/extensions/crmsci/
# crminf: http://www.cidoc-crm.org/extensions/crminf/
# rico: https://www.ica.org/standards/RiC/ontology#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
heritageGraph:RitualTypeEnum#Vrata	Vrata	skos:exactMatch		heritageGraph:Vrata		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#Jatra	Jatra	skos:exactMatch		heritageGraph:Jatra		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#ChariotProcession	ChariotProcession	skos:exactMatch		heritageGraph:ChariotProcession		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#MaskedPerformance	MaskedPerformance	skos:exactMatch		heritageGraph:MaskedPerformance		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#RitualConsecration	RitualConsecration	skos:exactMatch		heritageGraph:RitualConsecration		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#ProcessionRitual	ProcessionRitual	skos:exactMatch		heritageGraph:ProcessionRitual		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#InstallationRitual	InstallationRitual	skos:exactMatch		heritageGraph:InstallationRitual		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#DeinstallationRitual	DeinstallationRitual	skos:exactMatch		heritageGraph:DeinstallationRitual		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#ReturningRitual	ReturningRitual	skos:exactMatch		heritageGraph:ReturningRitual		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#Circumambulation	Circumambulation	skos:exactMatch		heritageGraph:Circumambulation		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#RelicTour	RelicTour	skos:exactMatch		heritageGraph:RelicTour		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:RitualTypeEnum#ProcessionalMovement	ProcessionalMovement	skos:exactMatch		heritageGraph:ProcessionalMovement		skos:exactMatch	HeritageGraph						RitualTypeEnum			
heritageGraph:SourceTypeEnum#OralHistory	OralHistory	skos:exactMatch		heritageGraph:OralHistory		skos:exactMatch	HeritageGraph						SourceTypeEnum			
heritageGraph:SourceTypeEnum#Inscription	Inscription	skos:exactMatch		heritageGraph:Inscription		skos:exactMatch	HeritageGraph						SourceTypeEnum			
heritageGraph:SourceTypeEnum#FieldSurvey	FieldSurvey	skos:exactMatch		heritageGraph:FieldSurvey		skos:exactMatch	HeritageGraph						SourceTypeEnum			
heritageGraph:SourceTypeEnum#ArchivalRecord	ArchivalRecord	skos:exactMatch		heritageGraph:ArchivalRecordSource		skos:exactMatch	HeritageGraph						SourceTypeEnum			
heritageGraph:SourceTypeEnum#PublishedScholarship	PublishedScholarship	skos:exactMatch		heritageGraph:PublishedScholarship		skos:exactMatch	HeritageGraph						SourceTypeEnum			
heritageGraph:SourceTypeEnum#CommunityNarrative	CommunityNarrative	skos:exactMatch		heritageGraph:CommunityNarrative		skos:exactMatch	HeritageGraph						SourceTypeEnum			
heritageGraph:SourceTypeEnum#RitualProtocol	RitualProtocol	skos:exactMatch		heritageGraph:RitualProtocol		skos:exactMatch	HeritageGraph						SourceTypeEnum			
heritageGraph:SyncreticTypeEnum#Equivalence	Equivalence	skos:exactMatch		heritageGraph:Equivalence		skos:exactMatch	HeritageGraph						SyncreticTypeEnum			
heritageGraph:SyncreticTypeEnum#Appropriation	Appropriation	skos:exactMatch		heritageGraph:Appropriation		skos:exactMatch	HeritageGraph						SyncreticTypeEnum			
heritageGraph:SyncreticTypeEnum#Fusion	Fusion	skos:exactMatch		heritageGraph:Fusion		skos:exactMatch	HeritageGraph						SyncreticTypeEnum			
heritageGraph:SyncreticTypeEnum#Historical	Historical	skos:exactMatch		heritageGraph:Historical		skos:exactMatch	HeritageGraph						SyncreticTypeEnum			
heritageGraph:assertion_author	assertion_author	skos:broadMatch		crm:P14_carried_out_by		skos:broadMatch	HeritageGraph									
heritageGraph:birth_timespan	birth_timespan	skos:broadMatch		crm:P4_has_time-span		skos:broadMatch	HeritageGraph									
